Timestamp, Time, Mean, Variance, Deviation, Weighted, Min, Max, Root Mean Square
23.830, 3.061000000E+001, 9.027967705E-004, 3.327262959E-006, 1.824078660E-003, 3.330112382E+002, -1.938176691E-003, 9.474528953E-003, 2.015230064E-003
23.930, 3.071000000E+001, 3.259630512E-004, 3.112453988E-006, 1.764214836E-003, 3.326537490E+002, -2.322885673E-003, 8.123333566E-003, 1.772792257E-003
24.030, 3.081000000E+001, 8.691797479E-004, 2.329116722E-006, 1.526144397E-003, 3.326940469E+002, -2.343904926E-003, 7.852081209E-003, 1.740052422E-003
24.130, 3.091000000E+001, 1.327147488E-003, 3.312308563E-006, 1.819974880E-003, 3.329974229E+002, -3.431656398E-003, 8.925010450E-003, 2.234466604E-003
24.230, 3.101000000E+001, 1.738495170E-004, 3.163188120E-006, 1.778535386E-003, 3.328777941E+002, -2.378949896E-003, 9.067068808E-003, 1.765293416E-003
24.330, 3.111000000E+001, 7.977120601E-004, 2.607515553E-006, 1.614780342E-003, 3.326308984E+002, -2.929854672E-003, 7.861025631E-003, 1.783328950E-003
24.430, 3.121000000E+001, 8.381081159E-004, 3.636669376E-006, 1.907005342E-003, 3.324713558E+002, -1.794312266E-003, 1.037815772E-002, 2.061648694E-003
24.530, 3.131000000E+001, 8.216415434E-004, 3.989142740E-006, 1.997283841E-003, 3.326812145E+002, -2.127429470E-003, 1.052897237E-002, 2.137040337E-003
24.630, 3.141000000E+001, 4.124320912E-004, 2.768132721E-006, 1.663770633E-003, 3.333384462E+002, -2.407943597E-003, 7.304997183E-003, 1.694319190E-003
24.730, 3.151000000E+001, 3.390818186E-004, 3.840176347E-006, 1.959636790E-003, 3.330760950E+002, -2.565825358E-003, 9.636500850E-003, 1.965067426E-003
24.830, 3.161000000E+001, 8.713628321E-004, 3.621259947E-006, 1.902960837E-003, 3.331146613E+002, -2.352877520E-003, 9.411510080E-003, 2.071764880E-003
24.930, 3.171000000E+001, 1.078770713E-003, 3.386289547E-006, 1.840187367E-003, 3.327678317E+002, -1.419782289E-003, 1.045230217E-002, 2.113632743E-003
25.030, 3.181000000E+001, 4.261657006E-004, 3.831264527E-006, 1.957361624E-003, 3.327878834E+002, -3.628982231E-003, 9.741189890E-003, 1.979756615E-003
25.130, 3.191000000E+001, -1.187819467E-004, 3.238796232E-006, 1.799665589E-003, 3.331805575E+002, -2.803837415E-003, 7.455094717E-003, 1.781547180E-003
