Timestamp, Time, Mean, Variance, Deviation
43.17000, 9.480000000E+001, -2.883233713E-004, 1.704239221E-006, 1.305465136E-003
43.27000, 9.490000000E+001, 4.691566747E-005, 1.727110708E-006, 1.314195841E-003
43.37000, 9.500000000E+001, 7.419756982E-005, 1.731296158E-006, 1.315787277E-003
43.47000, 9.510000000E+001, -4.864622133E-005, 1.702708902E-006, 1.304878884E-003
43.57000, 9.520000000E+001, -3.405951334E-004, 1.684365897E-006, 1.297831228E-003
43.67000, 9.530000000E+001, 2.162166041E-004, 1.709099582E-006, 1.307325354E-003
43.77000, 9.540000000E+001, 2.085847742E-004, 1.669295221E-006, 1.292012082E-003
43.87000, 9.550000000E+001, 1.997666037E-004, 1.680466089E-006, 1.296327925E-003
43.97000, 9.560000000E+001, -1.435765323E-004, 1.686791986E-006, 1.298765562E-003
44.07000, 9.570000000E+001, 1.016999050E-005, 1.702292230E-006, 1.304719215E-003
44.17000, 9.580000000E+001, -1.400636854E-004, 1.737339068E-006, 1.318081586E-003
44.27000, 9.590000000E+001, 6.829910384E-004, 1.695071367E-006, 1.301949065E-003
44.37000, 9.600000000E+001, 1.377466406E-004, 1.745251547E-006, 1.321079690E-003
44.47000, 9.610000000E+001, -4.716511179E-004, 1.772394466E-006, 1.331313061E-003
44.57000, 9.620000000E+001, 2.187163225E-004, 1.682637830E-006, 1.297165306E-003
44.67000, 9.630000000E+001, -2.716912683E-004, 1.722514643E-006, 1.312446053E-003
44.77000, 9.640000000E+001, -1.360516545E-004, 1.694947151E-006, 1.301901360E-003
44.87000, 9.650000000E+001, 4.274956294E-006, 1.682762242E-006, 1.297213260E-003
44.97000, 9.660000000E+001, 1.689502757E-004, 1.699124452E-006, 1.303504681E-003
45.07000, 9.670000000E+001, -1.118489187E-004, 1.701485733E-006, 1.304410109E-003
45.17000, 9.680000000E+001, -2.032330813E-006, 1.703502701E-006, 1.305183015E-003
45.27000, 9.690000000E+001, 3.690199988E-004, 1.691156329E-006, 1.300444666E-003
45.37000, 9.700000000E+001, 4.378077170E-004, 1.618304510E-006, 1.272125980E-003
45.47000, 9.710000000E+001, -1.064668918E-004, 1.727302875E-006, 1.314268951E-003
45.57000, 9.720000000E+001, 7.532732531E-004, 1.750909706E-006, 1.323219447E-003
45.67000, 9.730000000E+001, -2.858297342E-004, 1.693663889E-006, 1.301408425E-003
45.77000, 9.740000000E+001, 2.444795122E-005, 1.622964694E-006, 1.273956315E-003
45.87000, 9.750000000E+001, 1.402808035E-004, 1.732010707E-006, 1.316058778E-003
45.97000, 9.760000000E+001, 3.346446851E-004, 1.658257345E-006, 1.287733414E-003
46.07000, 9.770000000E+001, 1.715187758E-004, 1.703276825E-006, 1.305096481E-003
46.17000, 9.780000000E+001, 6.769909063E-004, 1.690996615E-006, 1.300383257E-003
46.27000, 9.790000000E+001, -4.985778537E-004, 1.782264106E-006, 1.335014646E-003
46.37000, 9.800000000E+001, 1.876962486E-004, 1.683185696E-006, 1.297376466E-003
46.47000, 9.810000000E+001, 5.329120179E-005, 1.685413690E-006, 1.298234836E-003
46.57000, 9.820000000E+001, 1.661110019E-004, 1.675244246E-006, 1.294312268E-003
46.67000, 9.830000000E+001, 1.969898455E-004, 1.694161158E-006, 1.301599461E-003
46.77000, 9.840000000E+001, 5.651320024E-005, 1.720606346E-006, 1.311718852E-003
46.87000, 9.850000000E+001, -4.467084466E-004, 1.690921216E-006, 1.300354266E-003
46.97000, 9.860000000E+001, 1.932968008E-004, 1.732463504E-006, 1.316230794E-003
47.07000, 9.870000000E+001, -1.719287442E-004, 1.637449262E-006, 1.279628564E-003
47.17000, 9.880000000E+001, -8.620139345E-007, 1.727703401E-006, 1.314421318E-003
47.27000, 9.890000000E+001, 2.114037613E-004, 1.675172823E-006, 1.294284676E-003
47.37000, 9.900000000E+001, 6.292405724E-004, 1.711385443E-006, 1.308199313E-003
47.47000, 9.910000000E+001, 4.514049791E-004, 1.706135315E-006, 1.306191148E-003
47.57000, 9.920000000E+001, -3.946512115E-005, 1.680464102E-006, 1.296327159E-003
47.67000, 9.930000000E+001, 1.026783881E-004, 1.713954574E-006, 1.309180879E-003
47.77000, 9.940000000E+001, 1.375428452E-004, 1.680724866E-006, 1.296427733E-003
47.87000, 9.950000000E+001, -1.868428913E-004, 1.702112416E-006, 1.304650304E-003
47.97000, 9.960000000E+001, 2.480986420E-004, 1.671935912E-006, 1.293033608E-003
48.07000, 9.970000000E+001, -3.778008691E-004, 1.713657857E-006, 1.309067553E-003
48.17000, 9.980000000E+001, -5.398828271E-004, 1.766995440E-006, 1.329283807E-003
48.27000, 9.990000000E+001, -2.395931430E-004, 1.706734385E-006, 1.306420447E-003
48.37000, 1.000000000E+002, 4.680891800E-004, 1.681122397E-006, 1.296581041E-003
48.47000, 1.001000000E+002, 1.862981354E-004, 1.687424194E-006, 1.299008928E-003
48.57000, 1.002000000E+002, 3.945816397E-005, 1.624399953E-006, 1.274519499E-003
48.67000, 1.003000000E+002, 3.037868947E-004, 1.643807840E-006, 1.282110697E-003
48.77000, 1.004000000E+002, 8.750495763E-005, 1.694416383E-006, 1.301697500E-003
48.87000, 1.005000000E+002, 5.497555415E-004, 1.665197676E-006, 1.290425386E-003
48.97000, 1.006000000E+002, 1.838552389E-004, 1.725168616E-006, 1.313456743E-003
49.07000, 1.007000000E+002, 1.558211377E-004, 1.710565843E-006, 1.307886021E-003
49.17000, 1.008000000E+002, 9.878154885E-005, 1.654567599E-006, 1.286299965E-003
49.27000, 1.009000000E+002, -1.449296070E-004, 1.708470361E-006, 1.307084680E-003
49.37000, 1.010000000E+002, -1.397833898E-004, 1.675561256E-006, 1.294434725E-003
49.47000, 1.011000000E+002, 3.392861253E-004, 1.706575665E-006, 1.306359700E-003
49.57000, 1.012000000E+002, 1.991686182E-004, 1.668543358E-006, 1.291721084E-003
49.67000, 1.013000000E+002, -2.821746328E-004, 1.749719329E-006, 1.322769568E-003
49.77000, 1.014000000E+002, 1.766468584E-005, 1.741721844E-006, 1.319743098E-003
49.87000, 1.015000000E+002, -1.755897134E-004, 1.710175049E-006, 1.307736613E-003
49.97000, 1.016000000E+002, 5.430430167E-004, 1.734657095E-006, 1.317063816E-003
50.07000, 1.017000000E+002, -9.276618503E-005, 1.679718873E-006, 1.296039688E-003
50.17000, 1.018000000E+002, 1.825477020E-004, 1.658777204E-006, 1.287935248E-003
50.27000, 1.019000000E+002, 9.981802895E-005, 1.669751227E-006, 1.292188542E-003
50.37000, 1.020000000E+002, -2.826901915E-004, 1.745882284E-006, 1.321318389E-003
50.47000, 1.021000000E+002, 4.080601203E-004, 1.679720066E-006, 1.296040148E-003
50.57000, 1.022000000E+002, 6.593965137E-005, 1.771861193E-006, 1.331112765E-003
50.67000, 1.023000000E+002, 2.781740829E-004, 1.654398128E-006, 1.286234088E-003
50.77000, 1.024000000E+002, -1.077318977E-004, 1.728322824E-006, 1.314656923E-003
50.87000, 1.025000000E+002, 1.755922372E-004, 1.738594885E-006, 1.318557881E-003
50.97000, 1.026000000E+002, 6.518318098E-004, 1.723394823E-006, 1.312781331E-003
51.07000, 1.027000000E+002, 1.610182571E-006, 1.636383108E-006, 1.279211909E-003
51.17000, 1.028000000E+002, -2.517296175E-004, 1.679918222E-006, 1.296116593E-003
51.27000, 1.029000000E+002, 2.377883037E-004, 1.752999688E-006, 1.324008946E-003
51.37000, 1.030000000E+002, 6.894151886E-004, 1.675703349E-006, 1.294489609E-003
51.47000, 1.031000000E+002, 1.869982917E-004, 1.667073070E-006, 1.291151838E-003
51.57000, 1.032000000E+002, -2.849081935E-004, 1.746495380E-006, 1.321550370E-003
51.67000, 1.033000000E+002, -4.456149878E-005, 1.642763021E-006, 1.281703172E-003
51.77000, 1.034000000E+002, 1.599539352E-005, 1.723448701E-006, 1.312801851E-003
51.87000, 1.035000000E+002, 4.075378559E-005, 1.674292332E-006, 1.293944486E-003
51.97000, 1.036000000E+002, 1.319416649E-004, 1.717474151E-006, 1.310524380E-003
52.07000, 1.037000000E+002, 4.935330997E-004, 1.657243365E-006, 1.287339646E-003
52.17000, 1.038000000E+002, 3.941764824E-004, 1.655316752E-006, 1.286591136E-003
52.27000, 1.039000000E+002, -1.053293666E-004, 1.656282664E-006, 1.286966458E-003
52.37000, 1.040000000E+002, 5.124204113E-004, 1.678252675E-006, 1.295473919E-003
52.47000, 1.041000000E+002, -2.144476285E-004, 1.677973458E-006, 1.295366148E-003
52.57000, 1.042000000E+002, 3.655000407E-004, 1.680591701E-006, 1.296376373E-003
52.67000, 1.043000000E+002, -2.202702075E-004, 1.745170206E-006, 1.321048904E-003
52.77000, 1.044000000E+002, 1.760849377E-004, 1.661694252E-006, 1.289067202E-003
52.87000, 1.045000000E+002, 1.760663403E-004, 1.683425459E-006, 1.297468866E-003
52.97000, 1.046000000E+002, -8.869911239E-006, 1.711180748E-006, 1.308121075E-003
53.07000, 1.047000000E+002, 7.161912552E-004, 1.755617568E-006, 1.324997195E-003
53.17000, 1.048000000E+002, 9.860115832E-005, 1.649071082E-006, 1.284161626E-003
53.27000, 1.049000000E+002, -7.187569254E-006, 1.663434889E-006, 1.289742179E-003
53.37000, 1.050000000E+002, 3.365597471E-004, 1.672728117E-006, 1.293339908E-003
53.47000, 1.051000000E+002, -9.457121956E-005, 1.665957023E-006, 1.290719576E-003
53.57000, 1.052000000E+002, -4.266374473E-004, 1.678525427E-006, 1.295579186E-003
53.67000, 1.053000000E+002, 4.130909419E-004, 1.796460365E-006, 1.340320993E-003
53.77000, 1.054000000E+002, -6.825472740E-005, 1.664887637E-006, 1.290305250E-003
53.87000, 1.055000000E+002, 8.879063552E-005, 1.676731366E-006, 1.294886623E-003
53.97000, 1.056000000E+002, -3.647037920E-004, 1.688388948E-006, 1.299380217E-003
54.07000, 1.057000000E+002, 8.285312431E-004, 1.640122806E-006, 1.280672794E-003
54.17000, 1.058000000E+002, 2.392131435E-005, 1.661260460E-006, 1.288898933E-003
54.27000, 1.059000000E+002, 5.096432122E-004, 1.731199446E-006, 1.315750526E-003
54.37000, 1.060000000E+002, -7.829942716E-005, 1.722818115E-006, 1.312561662E-003
54.47000, 1.061000000E+002, 2.154291136E-004, 1.772906779E-006, 1.331505456E-003
54.57000, 1.062000000E+002, -3.427012761E-004, 1.746013461E-006, 1.321368026E-003
54.67000, 1.063000000E+002, 1.078556686E-004, 1.696983932E-006, 1.302683358E-003
54.77000, 1.064000000E+002, 5.045951448E-004, 1.682709487E-006, 1.297192926E-003
54.87000, 1.065000000E+002, 2.353036275E-004, 1.734468486E-006, 1.316992212E-003
54.97000, 1.066000000E+002, 2.741288639E-005, 1.660797530E-006, 1.288719337E-003
55.07000, 1.067000000E+002, 4.931050566E-004, 1.700373056E-006, 1.303983534E-003
55.17000, 1.068000000E+002, -1.654441364E-004, 1.687519332E-006, 1.299045546E-003
55.27000, 1.069000000E+002, 9.390539095E-004, 1.635727304E-006, 1.278955552E-003
55.37000, 1.070000000E+002, 6.039404946E-004, 1.647517651E-006, 1.283556641E-003
55.47000, 1.071000000E+002, 4.178787186E-004, 1.667525568E-006, 1.291327057E-003
55.57000, 1.072000000E+002, 1.635324299E-004, 1.685363435E-006, 1.298215481E-003
